"","id","player","team","overall_ecr","adp","adp_sd","uncertainty","tier","proj_fp_avg","player_type","seasons_played","hist_fp_avg","hist_delta_avg","hist_delta_last","proj_fp_median","proj_sd","num_sources","projection_rank","replacement_points","vor","vor_rank","aav","career_games","hist_fp_max","last_season_fp","pos"
"12","13116","Patrick Mahomes","KCC",99.72,89.392,23.8958300964834,0.33,2,321.322,"Veteran (3+ yrs)",9,315.74,5.58199999999999,20.442,319.54,17.370786395555,5,12,320.401428571429,0.920571428571463,12,8.805,126,433.08,300.88,"QB"
"13","15698","Brock Purdy","SFO",95.24,91.892,20.9937489743971,0.08,3,320.401428571429,"Veteran (3+ yrs)",4,223.025,97.3764285714285,135.121428571429,318.44,8.21408633298399,6,13,320.401428571429,0,13,6.7685,49,307.3,185.28,"QB"
"14","12620","Dak Prescott","DAL",79.34,66.252,15.8219118945847,0.17,2,318.758857142857,"Veteran (3+ yrs)",10,271.506,47.2528571428571,-4.92114285714291,309.436,13.3828120043158,6,14,320.401428571429,-1.64257142857139,14,9.506,139,355.34,323.68,"QB"
"15","17039","Tyler Shough","NOS",123.52,128.79,23.786811471906,0.29,3,310.42,"Young (1-2yrs)",1,169.46,140.96,140.96,318.44,14.8144119019285,5,15,320.401428571429,-9.98142857142852,15,5.0895,11,169.46,169.46,"QB"
"16","9431","Matthew Stafford","LAR",105.42,86.872,21.6454091206427,0.31,2,307.592,"Veteran (3+ yrs)",11,254.943636363636,52.6483636363636,-51.488,306,19.8038612396674,5,16,320.401428571429,-12.8094285714286,16,8.615,162,359.08,359.08,"QB"
"17","14056","Kyler Murray","MIN",112.49,124.214,24.020399330569,0.62,4,306.752,"Veteran (3+ yrs)",7,261.142857142857,45.6091428571428,220.272,307.78,24.5039898792013,5,17,320.401428571429,-13.6494285714285,17,6.7495,87,418.64,86.48,"QB"
"18","12611","Jared Goff","DET",105.47,102.512,17.5600061503406,0.49,3,305.692,"Veteran (3+ yrs)",10,255.818,49.874,2.93200000000002,298.26,22.0403702328251,5,18,320.401428571429,-14.7094285714285,18,6.0665,151,332.96,302.76,"QB"
"19","13590","Baker Mayfield","TBB",119.42,122.11,20.8155979976555,0.51,3,305.648,"Veteran (3+ yrs)",8,252.475,53.173,21.228,307.52,22.368248031529,5,19,320.401428571429,-14.7534285714285,19,5.4035,123,381.8,284.42,"QB"
"20","15694","Malik Willis","MIA",134.87,140.604,21.670519698429,0.34,4,300.326,"Veteran (3+ yrs)",4,36.895,263.431,242.546,304.9,22.7194779869609,5,20,320.401428571429,-20.0754285714286,20,4.8195,19,57.8,57.78,"QB"
"21","16161","Bijan Robinson","ATL",2.4,2.1,0.396333193159493,0.21,2,458.675714285714,"Veteran (3+ yrs)",3,398.766666666667,59.9090476190476,3.77571428571429,456.88,18.4108463114752,6,1,197.56,261.115714285714,1,60.1585,51,454.9,454.9,"RB"
"22","16162","Jahmyr Gibbs","DET",1.65,1.726,0.621404859974558,0.08,1,449.245714285714,"Veteran (3+ yrs)",3,391.466666666667,57.7790476190477,9.44571428571436,455.22,20.8832970394546,6,2,197.56,251.685714285714,2,60.748,49,439.8,439.8,"RB"
"23","13130","Christian McCaffrey","SFO",11.21,8.524,4.84793811841694,0.1,4,414.414285714286,"Veteran (3+ yrs)",9,334.517777777778,79.8965079365079,-95.4857142857143,415.58,14.4845605814638,6,3,197.56,216.854285714286,3,55.258,112,555.3,509.9,"RB"
"24","14802","Jonathan Taylor","IND",7.44,7.136,3.60587076862164,0.15,3,413.415714285714,"Veteran (3+ yrs)",6,333.166666666667,80.2490476190476,-43.7842857142857,414.6,20.2441200163923,6,4,197.56,215.855714285714,4,53.4125,84,472.7,457.2,"RB"
